timestamp,gocator_ID,gc_decision,gc_offset_x,gc_offset_y,gc_offset_z,gc_outer_radius,gc_depth,dc_bevel_radius,gc_bevel_angle,gc_xangle,gc_yangle,gc_cb_depth,gc_axis_tilt,gc_axis_orient,gh_decision,gh_offset_x,gh_offset_y,gh_offset_z,gh_radius,gp_xangle,gp_yangle,gp_z_offset,gp_std_dev
,,,in,in,in,in,in,in,deg,deg,deg,in,deg,deg,,in,in,in,in,deg,deg,in,in
2022-06-29 13:45:56,random_0.25in_offset,0,0.2398,-0.0963,-0.1851,0.1941,1.7,-0.9,98.4,-0.1,-0.6,0.0000,3.0,105.4,0,0.2381,-0.0961,-0.1895,0.1205,-0.1,-0.7,-0.1877,0.0102
2022-06-29 13:46:01,adjust_1,0,0.0019,0.0017,0.0012,0.1945,1.7,-0.9,99.2,-0.1,-0.5,0.0000,4.6,95.3,0,0.0007,-0.0026,-0.0031,0.1221,-0.2,-0.5,-0.0037,0.0089
2022-06-29 13:46:09,random_0.25in_offset,0,-0.0337,0.1553,-0.1960,0.1956,1.7,-1.0,99.8,-0.2,-0.5,0.0000,6.4,95.9,0,-0.0365,0.1457,-0.1998,0.1213,-0.3,-0.5,-0.2002,0.0117
2022-06-29 13:46:14,adjust_1,0,0.0020,-0.0023,0.0003,0.1943,1.7,-0.9,98.8,-0.2,-0.5,0.0000,4.2,93.8,0,-0.0009,-0.0061,-0.0041,0.1214,-0.2,-0.5,-0.0047,0.0095
2022-06-29 13:46:22,random_0.25in_offset,0,0.0729,0.1359,-0.2181,0.1954,1.7,-0.9,99.5,-0.2,-0.5,0.0000,5.9,93.4,0,0.0694,0.1278,-0.2220,0.1223,-0.3,-0.6,-0.2216,0.0125
2022-06-29 13:46:27,adjust_1,0,0.0022,-0.0021,0.0006,0.1949,1.6,-1.0,99.6,-0.2,-0.5,0.0000,4.2,96.8,0,-0.0008,-0.0067,-0.0038,0.1216,-0.2,-0.5,-0.0044,0.0093
2022-06-29 13:46:36,random_0.25in_offset,0,0.1194,0.0340,0.1446,0.1947,1.6,-1.0,99.5,-0.2,-0.6,0.0000,4.7,101.4,0,0.1178,0.0282,0.1403,0.1221,-0.2,-0.6,0.1409,0.0091
2022-06-29 13:46:40,adjust_1,0,-0.0011,-0.0013,0.0019,0.1945,1.7,-0.9,99.0,-0.2,-0.5,0.0000,4.5,97.1,0,-0.0039,-0.0060,-0.0024,0.1213,-0.2,-0.5,-0.0031,0.0088
2022-06-29 13:46:49,random_0.25in_offset,0,-0.0334,-0.0661,0.1360,0.1943,1.7,-0.9,98.9,-0.2,-0.5,0.0000,3.3,94.7,0,-0.0361,-0.0671,0.1318,0.1219,-0.1,-0.5,0.1307,0.0085
2022-06-29 13:46:54,adjust_1,0,-0.0004,0.0016,-0.0007,0.1944,1.7,-0.9,98.9,-0.2,-0.5,0.0000,4.5,103.0,0,-0.0031,-0.0027,-0.0050,0.1219,-0.2,-0.5,-0.0056,0.0094
