timestamp,gocator_ID,gc_decision,gc_offset_x,gc_offset_y,gc_offset_z,gc_outer_radius,gc_depth,dc_bevel_radius,gc_bevel_angle,gc_xangle,gc_yangle,gc_cb_depth,gc_axis_tilt,gc_axis_orient,gh_decision,gh_offset_x,gh_offset_y,gh_offset_z,gh_radius,gp_xangle,gp_yangle,gp_z_offset,gp_std_dev
,,,in,in,in,in,in,in,deg,deg,deg,in,deg,deg,,in,in,in,in,deg,deg,in,in
2022-06-21 16:32:20,random_10deg_tilt,0,0.0158,0.0507,-0.0467,0.1952,1.6,-1.0,100.1,4.8,3.2,0.0000,3.9,97.7,0,0.0185,0.0522,-0.0509,0.1220,4.8,3.2,-0.0589,0.0311
2022-06-21 16:32:23,adjust_2,0,0.0156,0.0463,-0.0547,0.1951,1.7,-1.0,99.7,0.0,0.1,0.0000,3.8,91.4,0,0.0133,0.0397,-0.0591,0.1226,0.0,0.0,-0.0597,0.0100
2022-06-21 16:32:30,random_10deg_tilt,0,0.0135,0.0529,-0.0481,0.1951,1.6,-1.0,100.0,5.1,2.1,0.0000,4.0,94.8,0,0.0151,0.0543,-0.0524,0.1220,5.1,2.1,-0.0602,0.0294
2022-06-21 16:32:33,adjust_2,0,0.0150,0.0471,-0.0547,0.1946,1.7,-0.9,99.2,0.0,0.1,0.0000,4.6,97.3,0,0.0136,0.0400,-0.0589,0.1226,0.0,0.0,-0.0596,0.0097
2022-06-21 16:32:40,random_10deg_tilt,0,0.0186,0.0530,-0.0393,0.1945,1.6,-1.0,99.5,5.9,6.7,0.0000,3.9,84.2,0,0.0246,0.0566,-0.0427,0.1221,5.9,6.8,-0.0566,0.0442
2022-06-21 16:32:44,adjust_2,0,0.0151,0.0463,-0.0549,0.1950,1.7,-1.0,99.5,0.0,0.1,0.0000,4.1,95.5,0,0.0139,0.0404,-0.0591,0.1222,-0.1,0.1,-0.0598,0.0101
2022-06-21 16:32:50,random_10deg_tilt,0,0.0212,0.0435,-0.0574,0.1953,1.7,-0.9,99.4,-2.4,1.1,0.0000,5.5,95.0,0,0.0206,0.0313,-0.0612,0.1240,-2.4,1.1,-0.0615,0.0184
2022-06-21 16:32:53,adjust_2,0,0.0149,0.0465,-0.0556,0.1949,1.7,-0.9,99.4,0.0,0.0,0.0000,4.4,92.8,0,0.0135,0.0404,-0.0598,0.1226,0.0,0.0,-0.0604,0.0103
2022-06-21 16:32:59,random_10deg_tilt,0,0.0128,0.0446,-0.0624,0.1950,1.7,-1.0,99.5,-1.5,-3.7,0.0000,5.2,99.1,0,0.0074,0.0348,-0.0661,0.1221,-1.6,-3.7,-0.0663,0.0233
2022-06-21 16:33:03,adjust_2,0,0.0152,0.0463,-0.0557,0.1949,1.7,-0.9,99.3,0.0,0.0,0.0000,4.4,94.4,0,0.0142,0.0411,-0.0600,0.1220,-0.1,0.0,-0.0606,0.0106
