timestamp,gocator_ID,gc_decision,gc_offset_x,gc_offset_y,gc_offset_z,gc_outer_radius,gc_depth,dc_bevel_radius,gc_bevel_angle,gc_xangle,gc_yangle,gc_cb_depth,gc_axis_tilt,gc_axis_orient,gh_decision,gh_offset_x,gh_offset_y,gh_offset_z,gh_radius,gp_xangle,gp_yangle,gp_z_offset,gp_std_dev
,,,in,in,in,in,in,in,deg,deg,deg,in,deg,deg,,in,in,in,in,deg,deg,in,in
2022-06-21 16:29:19,random_0.25in_offset,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0909,-0.2405,-0.1258,0.1234,2.8,-0.2,-0.1144,0.0094
2022-06-21 16:29:22,adjust_1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0019,-0.0004,-0.0045,0.1235,3.0,-0.2,-0.0045,0.0070
2022-06-21 16:29:29,random_0.25in_offset,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0434,0.0813,0.1246,0.1231,3.1,-0.2,0.1201,0.0052
2022-06-21 16:29:32,adjust_1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0006,0.0007,0.0011,0.1231,3.1,-0.2,0.0010,0.0071
2022-06-21 16:29:38,random_0.25in_offset,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0317,-0.2583,0.1259,0.1231,2.8,-0.2,0.1384,0.0111
2022-06-21 16:29:41,adjust_1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0001,-0.0013,-0.0015,0.1235,3.0,-0.2,-0.0015,0.0076
2022-06-21 16:29:48,random_0.25in_offset,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.1345,0.0647,-0.3052,0.1228,3.1,-0.2,-0.3083,0.0079
2022-06-21 16:29:51,adjust_1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0024,-0.0026,-0.0015,0.1234,3.0,-0.2,-0.0014,0.0072
2022-06-21 16:29:58,random_0.25in_offset,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0709,-0.2699,-0.3434,0.1232,2.8,-0.2,-0.3304,0.0119
2022-06-21 16:30:02,adjust_1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0036,-0.0002,-0.0033,0.1236,3.0,-0.2,-0.0033,0.0068
