time_stamp,tag_name,gc_decision,gc_offset_x,gc_offset_y,gc_offset_z,gc_outer_radius,gc_depth,gc_bevel_radius,gc_bevel_angle,gc_xangle,gc_yangle,gc_cb_depth,gc_axis_tilt,gc_axis_orient,gh_decision,gh_offset_x,gh_offset_y,gh_offset_z,gh_radius,gp_xangle,gp_yangle,gp_z_offset,gp_std_dev
2022-11-12T06:00:50.102000,100_initial,0,0.0272,0.0457,0.0320,0.2127,0.0585,-0.1053,116.47,-5.79,0.90,0.0000,16.56,-140.65,0,0.0579,0.0631,0.0310,0.1225,-6.00,0.87,0.0337,0.0537
2022-11-12T06:00:55.105000,100_adjust_3-1,0,0.0041,0.0091,-0.0036,0.2076,0.0580,-0.0963,114.13,0.91,0.81,0.0000,14.34,-141.69,0,0.0253,0.0258,-0.0025,0.1225,0.92,0.83,-0.0046,0.0367
2022-11-12T06:00:59.712000,100_adjust_3-2,0,0.0028,0.0010,-0.0032,0.2074,0.0584,-0.0937,113.65,0.02,0.05,0.0000,14.26,-143.52,0,0.0228,0.0177,-0.0028,0.1220,0.03,0.05,-0.0038,0.0355
2022-11-12T06:01:03.082000,100_adjust_1,0,0.0007,0.0015,-0.0003,0.2064,0.0585,-0.0909,112.98,0.04,0.06,0.0000,13.92,-145.44,0,0.0206,0.0170,0.0003,0.1229,0.05,0.07,-0.0007,0.0349
2022-11-12T06:01:20.589000,101_initial,0,0.1141,0.1188,-0.2638,0.1954,0.0635,-0.0440,101.13,-4.00,-0.45,0.0000,6.18,95.01,0,0.1098,0.1010,-0.2669,0.1216,-4.30,-0.65,-0.2616,0.0327
2022-11-12T06:01:25.493000,101_adjust_3-1,0,-0.0046,0.0005,0.0041,0.1930,0.0626,-0.0426,100.24,0.01,-0.02,0.0000,5.24,96.11,0,-0.0066,-0.0069,-0.0002,0.1211,0.00,-0.02,-0.0009,0.0129
2022-11-12T06:01:29.906000,101_adjust_3-2,0,-0.0000,-0.0008,-0.0000,0.1930,0.0626,-0.0426,100.26,-0.04,-0.00,0.0000,4.71,97.43,0,-0.0022,-0.0080,-0.0040,0.1211,-0.05,-0.00,-0.0048,0.0128
2022-11-12T06:01:33.270000,101_adjust_1,0,0.0000,0.0005,-0.0003,0.1929,0.0627,-0.0419,100.06,-0.00,0.00,0.0000,4.68,96.36,0,-0.0022,-0.0065,-0.0045,0.1207,-0.01,0.00,-0.0052,0.0123
2022-11-12T06:01:51.109000,102_initial,0,0.1739,0.1317,0.2180,0.2617,0.1211,0.0283,99.72,3.51,0.83,0.0000,0.68,46.27,0,0.1775,0.1398,0.2101,0.1363,3.16,0.37,0.1989,0.0194
2022-11-12T06:01:56.132000,102_adjust_3-1,0,-0.0004,-0.0028,0.0026,0.2611,0.1217,0.0298,99.20,0.07,0.05,0.0000,0.60,-14.80,0,-0.0006,0.0009,-0.0046,0.1351,0.06,0.05,-0.0062,0.0198
2022-11-12T06:02:00.504000,102_adjust_3-2,0,0.0004,0.0002,0.0000,0.2613,0.1215,0.0293,99.37,0.02,0.01,0.0000,0.58,10.29,0,0.0009,0.0037,-0.0072,0.1355,0.01,0.01,-0.0089,0.0194
2022-11-12T06:02:03.786000,102_adjust_1,0,-0.0000,0.0000,-0.0002,0.2612,0.1216,0.0295,99.29,0.02,0.01,0.0000,0.66,-3.04,0,0.0003,0.0034,-0.0074,0.1356,0.01,0.02,-0.0090,0.0195
2022-11-12T06:02:21.525000,103_initial,0,-0.0570,0.1688,0.0676,0.2629,0.1201,0.0256,100.65,3.55,3.98,0.0000,1.70,92.89,0,-0.0475,0.1676,0.0593,0.1337,3.05,4.23,0.0511,0.0283
2022-11-12T06:02:26.662000,103_adjust_3-1,0,0.0018,-0.0048,-0.0048,0.2627,0.1206,0.0266,100.35,0.02,0.01,0.0000,0.91,99.51,0,0.0024,-0.0099,-0.0133,0.1332,0.02,0.01,-0.0148,0.0195
2022-11-12T06:02:31.026000,103_adjust_3-2,0,0.0003,0.0006,-0.0005,0.2628,0.1205,0.0264,100.44,0.01,0.00,0.0000,0.94,98.96,0,0.0008,-0.0053,-0.0090,0.1330,0.00,0.01,-0.0104,0.0194
2022-11-12T06:02:34.408000,103_adjust_1,0,-0.0005,-0.0000,0.0006,0.2628,0.1205,0.0264,100.44,0.00,-0.00,0.0000,0.89,96.48,0,0.0001,-0.0052,-0.0080,0.1330,-0.01,0.01,-0.0094,0.0196
2022-11-12T06:02:53.492000,104_initial,0,0.0540,0.1049,0.2012,0.1945,0.0629,-0.0446,101.06,3.73,3.74,0.0000,6.27,86.70,0,0.0524,0.0976,0.1961,0.1219,3.65,3.72,0.1843,0.0259
2022-11-12T06:02:58.480000,104_adjust_3-1,0,-0.0016,-0.0039,-0.0024,0.1945,0.0631,-0.0437,100.86,0.06,0.03,0.0000,6.00,90.27,0,-0.0074,-0.0165,-0.0070,0.1242,0.06,0.03,-0.0080,0.0154
